ND,Grand Forks,Ag Week,http://www.agweek.com/
ND,Ashley,Ashley Tribune,http://www.centraldakotanews.com/?id=1048
ND,Minnewaukan,Benson County Farmers Press,http://www.bensoncountynews.com/
ND,Beulah,Beulah Beacon,http://www.bhgnews.com/?id=1048
ND,Bismarck,Bismarck Tribune,http://www.bismarcktribune.com/
ND,Bowman,Bowman County Pioneer,http://www.bowmanextra.com/
ND,Casselton,Cass County Reporter,http://ccreporter.wordpress.com/
ND,Center,Center Republican,http://www.bhgnews.com/?id=1050
ND,Crosby,Crosby Journal,http://www.journaltrib.com/?id=34
ND,Devils Lake,Devils Lake Journal,http://www.devilslakejournal.com/
ND,Dickinson,Dickinson Press,http://www.thedickinsonpress.com/
ND,Dickinson,DSU BlueHawks,http://www.dsubluehawks.com/
ND,Edgeley,Edgeley Mail,http://www.edgeleynd.com/
ND,Linton,Emmons County Record,http://www.ecrecord.com/
ND,Fargo,Fargo Forum,http://www.in-forum.com 
ND,Mandan,Farm and Ranch Guide,http://www.farmandranchguide.com/
ND,Grand Forks,Grand Forks Herald,http://www.gfherald.com
ND,Cooperstown,Griggs County Courier,http://www.ncppub.com/pages/?cat=95
ND,Hazen,Hazen Star,http://www.bhgnews.com/?id=1049
ND,Fargo,High Plains Reader,http://hpr1.com/
ND,Hillsboro,Hillsboro Banner,http://www.hillsborobanner.com/
ND,Jamestown,Jamestown Sun,http://www.jamestownsun.com/
ND,Kenmare,Kenmare News,http://www.kenmarend.com/?id=30
ND,Mandan,Mandan News,http://mandan-news.com/
ND,Watford City,Mckenzie County Farmer,http://www.watfordcitynd.com/
ND,Garrison,McLean County Independent,http://www.bhgnews.com/?id=1045
ND,Turtle Lake,McLean County Journal,http://www.bhgnews.com/?id=1046
ND,West Fargo,Midweek Online,http://www.themidweek.com/
ND,Minot,Minot Daily News,http://www.minotdailynews.com/
ND,Stanley,Mountrail County Promoter,http://www.mountrailcountypromoter.com/
ND,Parshall,Mountrail County Record,http://www.bhgnews.com/?id=1206
ND,Minot,MSU Red and Green,http://www.minotstateu.edu/redgreen/
ND,Napoleon,Napoleon Homestead,http://www.centraldakotanews.com/?id=1049
ND,New Town,New Town News,http://www.bhgnews.com/?id=1083
ND,Minot,Northern Sentry,http://www.northernsentry.com/
ND,Oakes,Oakes Times,http://www.smalltownpapers.com/newspapers/newspaper.php?id=296
ND,Rugby,Pierce County Tribune,http://www.thepiercecountytribune.com/
ND,Fargo,Prairie Business,http://www.prairiebizmag.com/
ND,Lisbon,Ransom County Gazette,http://www.rcgazette.com/
ND,Steele,Steele Ozone and Kidder County Press,http://www.centraldakotanews.com/?id=1081
ND,Tioga,Tioga Tribune,http://www.journaltrib.com/?id=35
ND,Mayville,Traill County Tribune,http://www.tctribune.net/
ND,Grand Forks,UND Dakota Student,http://www.dakotastudent.com/
ND,Underwood,Underwood News,http://www.bhgnews.com/?id=1047
ND,Valley City,Valley City Times Record,http://www.times-online.com/
ND,Wahpeton,Wahpeton Daily News,http://www.wahpetondailynews.com/
ND,Grafton,Walsh County Record,http://wcrecord.com/
ND,Washburn,Washburn Leader News,http://www.bhgnews.com/?id=1044
ND,Harvey,Wells County Herald Press,http://www.heraldpressnd.com/
ND,West Fargo,West Fargo Pioneer,http://www.westfargopioneer.com/
ND,Williston,Williston Herald,http://www.willistonherald.com
ND,Wishek,Wishek Star,http://www.centraldakotanews.com/?id=1045
